date,price,volume,vix,dxy,fng,hashrate,difficulty,active_addresses,fees_btc,tx_count,funding_mean,funding_abs
2017-06-10,2947.7099609375,2018889984,10.6999998092651,97.2699966430664,,4757530.08012788,678760110082,,,,,
2017-06-11,2958.11010742188,1752400000,10.6999998092651,97.2699966430664,,4926236.82055794,678760110082,,,,,
2017-06-12,2659.6298828125,2569530112,11.460000038147,97.1399993896484,,4959978.16864396,678760110082,,,,,
2017-06-13,2717.02001953125,1781200000,10.4200000762939,96.9800033569336,,4757530.08012788,678760110082,,,,,
2017-06-14,2506.3701171875,1696560000,10.6400003433228,96.9400024414062,,4723788.73204186,678760110082,,,,,
2017-06-15,2464.580078125,2026259968,10.8999996185303,97.4300003051758,,5162426.25716004,678760110082,,,,,
2017-06-16,2518.56005859375,1195190016,10.3800001144409,97.1600036621094,,4993719.51672997,678760110082,,,,,
2017-06-17,2655.8798828125,1534509952,10.3800001144409,97.1600036621094,,5129905.64429561,679668719408.648,,,,,
2017-06-18,2548.2900390625,1178659968,10.3800001144409,97.1600036621094,,5129905.64429561,711697198173,,,,,
2017-06-19,2589.60009765625,1446840064,10.3699998855591,97.5299987792969,,5342177.6019906,711697198173,,,,,
2017-06-20,2721.7900390625,1854189952,10.8599996566772,97.75,,4882255.02698479,711697198173,,,,,
2017-06-21,2689.10009765625,1626579968,10.75,97.5599975585938,,4953012.34621645,711697198173,,,,,
2017-06-22,2705.40991210938,1097939968,10.4799995422363,97.5400009155273,,4917633.68660062,711697198173,,,,,
2017-06-23,2744.90991210938,961318976,10.0200004577637,97.3000030517578,,5660585.53853309,711697198173,,,,,
2017-06-24,2608.71997070313,982750016,10.0200004577637,97.3000030517578,,5165284.30391144,711697198173,,,,,
2017-06-25,2589.40991210938,1161100032,10.0200004577637,97.3000030517578,,4316196.47313148,711697198173,,,,,
2017-06-26,2478.44995117188,1663280000,9.89999961853027,97.4300003051758,,5023769.66544811,711697198173,,,,,
2017-06-27,2552.44995117188,1489789952,11.0600004196167,96.4700012207031,,4634604.40967396,711697198173,,,,,
2017-06-28,2574.7900390625,1183869952,10.0299997329712,96.0500030517578,,5554449.55968559,711697198173,,,,,
2017-06-29,2539.32006835938,949979008,11.4399995803833,95.629997253418,,4245439.15389981,711697198173,,,,,
2017-06-30,2480.84008789063,860273024,11.1800003051758,95.6600036621094,,5448313.58083809,711697198173,,,,,
2017-07-01,2434.55004882813,779913984,11.1800003051758,95.6600036621094,,5802100.17699641,711697198173,,,,,
2017-07-02,2506.46997070313,803747008,11.1800003051758,95.6600036621094,,6622798.79067395,708707940675.899,,,,,
2017-07-03,2564.06005859375,964112000,11.2200002670288,96.1999969482422,,5988701.03412006,708659466230,,,,,
2017-07-04,2601.63989257813,985516032,11.2200002670288,96.1999969482422,,5389830.93070805,708659466230,,,,,
2017-07-05,2601.98999023438,941566016,11.0699996948242,96.2900009155273,,5248920.31814053,708659466230,,,,,
2017-07-06,2608.56005859375,761956992,12.539999961853,95.8199996948242,,5002326.74614734,708659466230,,,,,
2017-07-07,2518.65991210938,917411968,11.1899995803833,96.0100021362305,,5213692.66499864,708659466230,,,,,
2017-07-08,2571.34008789063,733329984,11.1899995803833,96.0100021362305,,5812562.76841065,708659466230,,,,,
2017-07-09,2518.43994140625,527856000,11.1899995803833,96.0100021362305,,4861416.13357982,708659466230,,,,,
2017-07-10,2372.56005859375,1111200000,11.1099996566772,96.0500030517578,,6939847.66895089,708659466230,,,,,
2017-07-11,2337.7900390625,1329760000,10.8900003433228,95.7399978637695,,6094383.99354571,708659466230,,,,,
2017-07-12,2398.84008789063,1117410048,10.3000001907349,95.7900009155273,,6235294.60611324,708659466230,,,,,
2017-07-13,2357.89990234375,835769984,9.89999961853027,95.7300033569336,,5530741.54327559,708659466230,,,,,
2017-07-14,2233.34008789063,882502976,9.51000022888184,95.1100006103516,,5559049.84406697,761764941640.259,,,,,
2017-07-15,1998.85998535156,993608000,9.51000022888184,95.1100006103516,,5079131.8719173,804525194568,,,,,
2017-07-16,1929.81994628906,1182870016,9.51000022888184,95.1100006103516,,6518885.7883663,804525194568,,,,,
2017-07-17,2228.40991210938,1201760000,9.81999969482422,95.129997253418,,5918988.32317922,804525194568,,,,,
2017-07-18,2318.8798828125,1512450048,9.89000034332275,94.6600036621094,,6598872.11705791,804525194568,,,,,
2017-07-19,2273.42993164063,1245100032,9.78999996185303,94.8000030517578,,5958981.48752502,804525194568,,,,,
2017-07-20,2817.60009765625,2249260032,9.57999992370605,94.2699966430664,,6478892.62402049,804525194568,,,,,
2017-07-21,2667.76000976563,1489449984,9.35999965667725,93.9400024414063,,6158947.30925405,804525194568,,,,,
2017-07-22,2810.1201171875,1177129984,9.35999965667725,93.9400024414063,,6398906.29532888,804525194568,,,,,
2017-07-23,2730.39990234375,1072840000,9.35999965667725,93.9400024414063,,6878824.26747855,804525194568,,,,,
2017-07-24,2754.86010742188,866473984,9.43000030517578,93.9800033569336,,7118783.25355338,804525194568,,,,,
2017-07-25,2576.47998046875,1460089984,9.43000030517578,94.0500030517578,,5918988.32317922,804525194568,,,,,
2017-07-26,2529.44995117188,937404032,9.60000038146973,93.6699981689453,,5878995.15883341,804525194568,,,,,
2017-07-27,2671.78002929688,789104000,10.1099996566772,93.8600006103516,,6585327.48529789,836351931635.429,,,,,
2017-07-28,2809.01000976563,1380099968,10.289999961853,93.2600021362305,,6414280.01814729,860221984436,,,,,
2017-07-29,2726.44995117188,803745984,10.289999961853,93.2600021362305,,6713613.08566083,860221984436,,,,,
2017-07-30,2757.17993164063,705942976,10.289999961853,93.2600021362305,,6285994.41778435,860221984436,,,,,
2017-07-31,2875.34008789063,860574976,10.2600002288818,92.8600006103516,,6200470.68420905,860221984436,,,,,
2017-08-01,2718.26000976563,1324669952,10.0900001525879,93.0299987792969,,6371518.15135964,860221984436,,,,,
2017-08-02,2710.669921875,1094950016,10.2799997329712,92.8300018310547,,6499803.75172259,860221984436,,,,,
2017-08-03,2804.72998046875,804796992,10.4399995803833,92.8099975585937,,5901137.61669551,860221984436,,,,,
2017-08-04,2895.88989257813,1002120000,10.0299997329712,93.5400009155273,,7654374.1549891,860221984436,,,,,
2017-08-05,3252.90991210938,1945699968,10.0299997329712,93.5400009155273,,7568850.42141381,860221984436,,,,,
2017-08-06,3213.93994140625,1105030016,10.0299997329712,93.5400009155273,,5986661.3502708,860221984436,,,,,
2017-08-07,3378.93994140625,1482279936,9.93000030517578,93.4300003051758,,6542565.61851024,860221984436,,,,,
2017-08-08,3419.93994140625,1752760064,10.960000038147,93.6399993896484,,7012946.15317437,860221984436,,,,,
2017-08-09,3342.46997070313,1468960000,11.1099996566772,93.5199966430664,,6333394.73736857,888074709977.536,,,,,
2017-08-10,3381.28002929688,1515110016,16.0400009155273,93.4000015258789,,6149818.07831441,923233068448,,,,,
2017-08-11,3650.6201171875,2021190016,15.5100002288818,93.0699996948242,,6608759.72594982,923233068448,,,,,
2017-08-12,3884.7099609375,2219589888,15.5100002288818,93.0699996948242,,6195712.24307795,923233068448,,,,,
2017-08-13,4073.26000976563,3159089920,15.5100002288818,93.0699996948242,,6792336.38500398,923233068448,,,,,
2017-08-14,4325.1298828125,2463089920,12.3299999237061,93.4599990844727,,5966241.41926025,923233068448,,,,,
2017-08-15,4181.93017578125,3258050048,12.039999961853,93.8499984741211,,6975913.04405814,923233068448,,,,,
2017-08-16,4376.6298828125,2272039936,11.7399997711182,93.4899978637695,,5966241.41926025,923233068448,,,,,
2017-08-17,4331.68994140625,2553359872,15.5500001907349,93.620002746582,,8215055.49267373,923233068448,,,,,
2017-08-18,4160.6201171875,2941710080,14.2600002288818,93.4300003051758,,6838230.54976752,923233068448,,,,,
2017-08-19,4193.7001953125,2975820032,14.2600002288818,93.4300003051758,,6930018.8792946,923233068448,,,,,
2017-08-20,4087.65991210938,2109769984,14.2600002288818,93.4300003051758,,5966241.41926025,923233068448,,,,,
2017-08-21,4001.73999023438,2800890112,13.1899995803833,93.0999984741211,,5277828.94780714,923233068448,,,,,
2017-08-22,4100.52001953125,3764239872,11.3500003814697,93.5500030517578,,4084580.66395509,923233068448,,,,,
2017-08-23,4151.52001953125,2369819904,12.25,93.1500015258789,,7297172.19740292,923233068448,,,,,
2017-08-24,4334.68017578125,2037750016,12.2299995422363,93.2799987792969,,4459277.5076504,891643263404.624,,,,,
2017-08-25,4371.60009765625,1727970048,11.2799997329712,92.7399978637695,,4459277.5076504,888171856257,,,,,
2017-08-26,4352.39990234375,1511609984,11.2799997329712,92.7399978637695,,4635882.55745833,888171856257,,,,,
2017-08-27,4382.8798828125,1537459968,11.2799997329712,92.7399978637695,,6843445.68005754,888171856257,,,,,
2017-08-28,4382.66015625,1959330048,11.3199996948242,92.2099990844727,,5695512.85630595,888171856257,,,,,
2017-08-29,4579.02001953125,2486080000,11.6999998092651,92.3499984741211,,6578538.10534563,888171856257,,,,,
2017-08-30,4565.2998046875,1937849984,11.2200002670288,92.879997253418,,7417412.09193333,888171856257,,,,,
2017-08-31,4703.39013671875,1944930048,10.5900001525879,92.6699981689453,,7196655.77967341,888171856257,,,,,
2017-09-01,4892.009765625,2599079936,10.1300001144409,92.8099975585937,,7682319.66664524,888171856257,,,,,
2017-09-02,4578.77001953125,2722139904,10.1300001144409,92.8099975585937,,7240807.04212539,888171856257,,,,,
2017-09-03,4582.9599609375,1933190016,10.1300001144409,92.8099975585937,,6799294.41760555,888171856257,,,,,
2017-09-04,4236.31005859375,2987330048,10.1300001144409,92.8099975585937,,7726470.92909722,888171856257,,,,,
2017-09-05,4376.52978515625,2697969920,12.2299995422363,92.3099975585938,,8697798.70304087,888171856257,,,,,
2017-09-06,4597.1201171875,2172100096,11.6300001144409,92.2900009155273,,7430760.7659943,903315386418.901,,,,,
2017-09-07,4599.8798828125,1844620032,11.5500001907349,91.5299987792969,,8072925.27663579,922724699725,,,,,
2017-09-08,4228.75,2700890112,12.1199998855591,91.3300018310547,,8027056.38301854,922724699725,,,,,
2017-09-09,4226.06005859375,1386230016,12.1199998855591,91.3300018310547,,7751843.02131504,922724699725,,,,,
2017-09-10,4122.93994140625,1679090048,12.1199998855591,91.3300018310547,,6329907.31918033,922724699725,,,,,
2017-09-11,4161.27001953125,1557330048,10.7299995422363,91.8600006103516,,7981187.48940129,922724699725,,,,,
2017-09-12,4130.81005859375,1864530048,10.5799999237061,91.9100036621094,,8623352.00004277,922724699725,,,,,
2017-09-13,3882.59008789063,2219409920,10.5,92.5199966430664,,8715089.78727727,922724699725,,,,,
2017-09-14,3154.94995117188,2716310016,10.4399995803833,92.120002746582,,7981187.48940129,922724699725,,,,,
2017-09-15,3637.52001953125,4148069888,10.1700000762939,91.870002746582,,8256400.85110478,922724699725,,,,,
2017-09-16,3625.0400390625,1818400000,10.1700000762939,91.870002746582,,7751843.02131504,922724699725,,,,,
2017-09-17,3582.8798828125,1239149952,10.1700000762939,91.870002746582,,8072925.27663579,922724699725,,,,,
2017-09-18,4065.19995117188,1943209984,10.1499996185303,92.0500030517578,,6965995.45167762,1052185622754.52,,,,,
2017-09-19,3924.96997070313,1563980032,10.1800003051758,91.7900009155274,,8556655.83040715,1103400932964,,,,,
2017-09-20,3905.94995117188,1213830016,9.77999973297119,92.5100021362305,,6417491.87280536,1103400932964,,,,,
2017-09-21,3631.0400390625,1411480064,9.67000007629395,92.2600021362305,,9653662.98815166,1103400932964,,,,,
2017-09-22,3630.69995117188,1194829952,9.59000015258789,92.1699981689453,,7624199.74632432,1103400932964,,,,,
2017-09-23,3792.39990234375,928113984,9.59000015258789,92.1699981689453,,9105159.40927941,1103400932964,,,,,
2017-09-24,3682.84008789063,768014976,9.59000015258789,92.1699981689453,,7953301.89364767,1103400932964,,,,,
2017-09-25,3926.07006835938,1374210048,10.210000038147,92.6500015258789,,6856294.73590317,1103400932964,,,,,
2017-09-26,3892.35009765625,1043740032,10.1700000762939,92.9700012207031,,7569349.3884371,1103400932964,,,,,
2017-09-27,4200.669921875,1686880000,9.86999988555908,93.3600006103516,,8063002.60942212,1103400932964,,,,,
2017-09-28,4174.72998046875,1712320000,9.55000019073486,93.0899963378906,,9708513.34603889,1103400932964,,,,,
2017-09-29,4163.06982421875,1367049984,9.51000022888184,93.0800018310547,,9269710.48294108,1103400932964,,,,,
2017-09-30,4338.7099609375,1207449984,9.51000022888184,93.0800018310547,,7569349.3884371,1103400932964,,,,,
2017-10-01,4403.740234375,1208210048,9.51000022888184,93.0800018310547,,7130546.52533929,1103400932964,,,,,
2017-10-02,4409.31982421875,1431730048,9.44999980926514,93.5599975585938,,8380132.03961296,1123590453769.76,,,,,
2017-10-03,4317.47998046875,1288019968,9.51000022888184,93.5699996948242,,10223761.0883278,1123863285132,,,,,
2017-10-04,4229.35986328125,1116770048,9.63000011444092,93.4599990844727,,7486251.28872091,1123863285132,,,,,
2017-10-05,4328.41015625,1161769984,9.1899995803833,93.9599990844727,,6983443.36634413,1123863285132,,,,,
