date,dxy
2019-09-01,
2019-09-03,98.9499969482422
2019-09-04,98.4499969482422
2019-09-05,98.4100036621094
2019-09-06,98.3899993896484
2019-09-08,
2019-09-09,98.2799987792969
2019-09-10,98.3300018310547
2019-09-11,98.6500015258789
2019-09-12,98.3099975585938
2019-09-13,98.2600021362305
2019-09-15,
2019-09-16,98.6500015258789
2019-09-17,98.2600021362305
2019-09-18,98.5999984741211
2019-09-19,98.2699966430664
2019-09-20,98.5100021362305
2019-09-22,
2019-09-23,98.5999984741211
2019-09-24,98.3399963378906
2019-09-25,99.0400009155274
2019-09-26,99.2099990844727
2019-09-27,99.1100006103516
2019-09-29,
2019-09-30,99.379997253418
2019-10-01,99.129997253418
2019-10-02,99.0400009155274
2019-10-03,98.8600006103516
2019-10-04,98.8099975585938
2019-10-06,
2019-10-07,98.9899978637695
2019-10-08,99.1399993896484
2019-10-09,99.120002746582
2019-10-10,98.7099990844727
2019-10-11,98.3000030517578
2019-10-13,
2019-10-14,98.4499969482422
2019-10-15,98.2900009155274
2019-10-16,98.0100021362305
2019-10-17,97.6100006103516
2019-10-18,97.2799987792969
2019-10-20,
2019-10-21,97.3300018310547
2019-10-22,97.5299987792969
2019-10-23,97.4700012207031
2019-10-24,97.629997253418
2019-10-25,97.8300018310547
2019-10-27,
2019-10-28,97.7600021362305
2019-10-29,97.6900024414063
2019-10-30,97.6500015258789
2019-10-31,97.3499984741211
2019-11-01,97.2399978637695
2019-11-03,
2019-11-04,97.5100021362305
2019-11-05,97.9800033569336
2019-11-06,97.9499969482422
2019-11-07,98.1399993896484
2019-11-08,98.3499984741211
2019-11-10,
2019-11-11,98.1999969482422
2019-11-12,98.3099975585938
2019-11-13,98.370002746582
2019-11-14,98.1600036621094
2019-11-15,98
2019-11-17,
2019-11-18,97.7900009155274
2019-11-19,97.8600006103516
2019-11-20,97.9300003051758
2019-11-21,97.9899978637695
2019-11-22,98.2699966430664
2019-11-24,
2019-11-25,98.3199996948242
2019-11-26,98.25
2019-11-27,98.4100036621094
2019-11-29,98.2699966430664
2019-12-01,
2019-12-02,97.8600006103516
2019-12-03,97.7399978637695
2019-12-04,97.6500015258789
2019-12-05,97.4100036621094
2019-12-06,97.6999969482422
2019-12-08,
2019-12-09,97.6399993896484
2019-12-10,97.4100036621094
2019-12-11,97.1600036621094
2019-12-12,97.4000015258789
2019-12-13,97.1699981689453
2019-12-15,
2019-12-16,97.0699996948242
2019-12-17,97.2099990844727
2019-12-18,97.4100036621094
2019-12-19,97.4199981689453
2019-12-20,97.7099990844727
2019-12-22,
2019-12-23,97.6600036621094
2019-12-24,97.6500015258789
2019-12-26,97.5899963378906
2019-12-27,96.9199981689453
2019-12-29,
2019-12-30,96.7399978637695
2019-12-31,96.3899993896484
2020-01-02,96.8499984741211
2020-01-03,96.8399963378906
2020-01-05,
2020-01-06,96.6699981689453
2020-01-07,96.9800033569336
2020-01-08,97.3000030517578
2020-01-09,97.4499969482422
2020-01-10,97.3600006103516
2020-01-12,
2020-01-13,97.3499984741211
2020-01-14,97.370002746582
2020-01-15,97.2300033569336
2020-01-16,97.3199996948242
2020-01-17,97.6100006103516
2020-01-19,
2020-01-21,97.5299987792969
2020-01-22,97.5299987792969
2020-01-23,97.6900024414063
2020-01-24,97.8499984741211
2020-01-26,
